Unique_ID,Surname,Forenames,Gender,Birth_Year,Status,Status_Prior_To_Dormant,Category,Accomodation_Type,Borough,Output_Area,Output_Area_CenX_EPSG27700,Output_Area_CenY_EPSG27700,Date_Went_Missing,Date_Record_Created,Date_Record_Updated,Date_Last_Seen,Date_Status_Changed_To_Unconfi
383A363A3936383A3139,NavajoWhite,PaleVioletRed1067821,M,1998,Returned,N/A,Missing,Other,City of Manchester,E00025648,381194.9,387580.7,2013-09-01 00:00,2013-09-01 00:01,2013-09-01 02:54,,
393A363A3936383A3139,Tomato,DarkMagenta1008618,F,1984,Returned,N/A,Missing,Other,Trafford,E00031203,378221.99,394527.55,2013-09-01 00:01,2013-09-01 00:06,2013-09-01 19:32,,
3B3A363A3936383A3139,OldLace,MediumPurple1027084,F,1999,Returned,N/A,Missing,Other,Bury,E00025022,381072.47,405310.62,2013-09-01 02:55,2013-09-01 02:56,2013-09-01 05:05,,
3C3A363A3936383A3139,RoyalBlue,RoyalBlue1023086,F,1995,Returned,N/A,Missing,Home Address,Rochdale,E00027755,390052.45,413116.69,2013-09-01 03:19,2013-09-01 03:23,2013-09-19 14:38,,
3E3A363A3936383A3139,Cyan,Wheat1044520,M,1930,Returned,N/A,Missing,Other,Tameside,E00168654,395352.17,399599.9,2013-09-01 10:52,2013-09-01 10:57,2013-09-02 11:27,,
3F3A363A3936383A3139,Lavender,MediumAquamarine1070729,M,1978,Returned,N/A,Missing,Other,City of Manchester,E00175812,384815.13,396619.04,2013-09-01 11:00,2013-09-01 11:04,2013-09-02 08:32,,
413A363A3936383A3139,FireBrick,NavajoWhite1005771,F,1978,Returned,N/A,Missing,Home Address,Rochdale,E00027788,388327.74,415714.78,2013-09-01 16:48,2013-09-01 16:49,2013-09-02 01:44,,
3A3A373A3936383A3139,Plum,SkyBlue1072226,M,2004,Returned,N/A,Missing,Home Address,Wigan,E00031544,359047.56,400072.67,2014-04-29 14:43,2013-09-01 20:04,2014-04-29 20:28,,
3B3A373A3936383A3139,Gray,Red1081279,M,1976,Returned,N/A,Missing,Home Address,City of Manchester,E00175812,384815.13,396619.04,2013-09-01 18:30,2013-09-01 20:19,2013-09-02 11:10,,
3C3A373A3936383A3139,LightCyan,PeachPuff1085797,M,1996,Returned,N/A,Missing,Home Address,Salford,E00028395,382434.01,399445.3,2013-09-01 21:32,2013-09-01 21:34,2013-09-01 23:36,,
3D3A373A3936383A3139,LavenderBlush,LightSeaGreen1013127,M,2000,Returned,N/A,Missing,Home Address,Wigan,E00032075,364934.14,400297.73,2013-10-23 20:10,2013-09-01 22:31,2013-10-23 21:43,,
3E3A373A3936383A3139,YellowGreen,Ivory1055317,M,1998,Returned,N/A,Missing,Child Care,City of Manchester,E00025648,381194.9,387580.7,2016-08-28 02:22,2013-09-02 00:17,2016-08-28 14:51,,
3F3A373A3936383A3139,Blue,DarkOliveGreen1001611,F,1997,Returned,N/A,Missing,Child Care,Wigan,E00032310,358133.75,405718.5,2014-12-21 00:00,2013-09-02 00:22,2015-01-28 18:17,,
403A373A3936383A3139,SeaGreen,Coral1035676,M,1990,Returned,N/A,Missing,Home Address,Trafford,E00030933,371977.72,391433.39,2013-09-01 10:00,2013-09-02 00:27,2013-09-02 20:13,,
393A383A3936383A3139,BlanchedAlmond,MediumSpringGreen1002252,M,1980,Returned,N/A,Missing,Home Address,City of Manchester,E00025239,380317.83,406164.55,2016-05-15 03:44,2013-09-02 12:56,2016-05-15 10:12,,
3A3A383A3936383A3139,BlanchedAlmond,CornflowerBlue1051883,F,1957,Returned,N/A,Missing,Elder Care,Trafford,E00031103,378286.72,385795.67,2013-09-02 13:00,2013-09-02 13:43,2013-09-02 21:06,,
3B3A383A3936383A3139,Maroon,CadetBlue1010123,F,1977,Returned,N/A,Missing,Other,City of Manchester,E00026349,385709.23,401054.32,2013-08-20 17:31,2013-09-02 17:36,2013-09-04 04:34,,
3C3A383A3936383A3139,Beige,Linen1039278,M,1994,Returned,N/A,Missing,Other,City of Manchester,E00026349,385709.23,401054.32,2013-08-20 17:37,2013-09-02 17:47,2013-09-04 01:21,,
3D3A383A3936383A3139,HoneyDew,Coral1027680,,1997,Returned,N/A,Missing,Other,City of Manchester,E00026349,385709.23,401054.32,2013-08-20 17:49,2013-09-02 17:52,2013-09-04 04:33,,
3E3A383A3936383A3139,DarkCyan,PaleGreen1061823,M,2000,Returned,N/A,Missing,Child Care,Salford,E00029018,375718.82,398921.56,2015-10-29 14:22,2013-09-02 18:01,2015-10-31 10:59,,
3F3A383A3936383A3139,LightPink,Indigo1061562,M,1993,Returned,N/A,Missing,Home Address,Trafford,E00031363,382322.45,396898.2,2013-09-01 12:30,2013-09-02 19:07,2013-09-04 00:05,,
403A383A3936383A3139,AliceBlue,MediumSeaGreen1008298,M,2000,Returned,N/A,Missing,Child Care,Rochdale,E00028067,387062.95,405060.9,2013-09-02 18:50,2013-09-02 19:09,2013-09-19 14:37,,
413A383A3936383A3139,Coral,LightSteelBlue1043031,F,1999,Returned,N/A,Missing,Child Care,Bolton,E00024692,372242.63,405796.1,2016-05-02 15:48,2013-09-02 19:56,2016-05-02 17:55,,
383A393A3936383A3139,Maroon,DarkSeaGreen1070666,F,1928,Returned,N/A,Missing,Other,Stockport,E00029665,388010.03,391744.02,2013-09-02 21:00,2013-09-02 21:28,2013-09-04 05:06,,
393A393A3936383A3139,HotPink,Cyan1031454,M,1982,Returned,N/A,Missing,Home Address,Trafford,E00031315,378129.91,394261.91,2016-03-13 00:01,2013-09-02 21:35,2016-03-13 01:56,,
3A3A393A3936383A3139,Plum,SkyBlue1079496,F,1949,Returned,N/A,Missing,Other,Salford,E00028505,377980.98,398601.91,2013-09-02 11:30,2013-09-02 21:43,2013-09-02 23:41,,
3B3A393A3936383A3139,Blue,LawnGreen1020245,U,1999,Returned,N/A,Missing,Home Address,Salford,E00028780,381285.96,399848.5,2013-09-03 01:04,2013-09-03 01:05,2013-09-03 02:05,,
3C3A393A3936383A3139,Lime,DeepSkyBlue1051198,M,1985,Returned,N/A,Missing,Home Address,Tameside,E00030281,394018.69,394481.95,2013-09-03 00:00,2013-09-03 04:05,2013-09-03 08:59,,
3D3A393A3936383A3139,YellowGreen,LightSalmon1023413,M,1977,Returned,N/A,Missing,Other,Trafford,E00030971,381997.41,395564.63,2013-09-03 09:23,2013-09-03 09:34,2013-09-03 17:43,,
3E3A393A3936383A3139,DarkOliveGreen,LightYellow1035950,F,1996,Returned,N/A,Missing,Child Care,City of Manchester,E00026068,384587.56,401347.68,2013-09-02 20:00,2013-09-03 12:30,2013-09-20 08:56,,
3F3A393A3936383A3139,DarkGray,RebeccaPurple1064731,M,1957,Returned,N/A,Missing,Home Address,Wigan,E00031862,367934.83,404080.19,2013-09-01 12:30,2013-09-03 13:36,2013-09-07 13:17,,
403A393A3936383A3139,Gray,SlateGray1024864,F,1998,Returned,N/A,Missing,Other,Salford,E00028903,372752.48,403545.57,2013-09-03 14:19,2013-09-03 14:24,2013-09-04 00:03,,
413A393A3936383A3139,Orchid,LightSeaGreen1035956,M,1995,Returned,N/A,Missing,Home Address,City of Manchester,E00026474,387153.08,401378.98,2013-09-03 17:27,2013-09-03 17:31,2013-09-04 07:55,,
383A3A3A3936383A3139,LightGray,Plum1052483,F,1946,Returned,N/A,Missing,Home Address,City of Manchester,E00025955,385733.87,399364,2013-09-03 17:51,2013-09-03 17:54,2013-09-04 10:36,,
393A3A3A3936383A3139,Tomato,MistyRose1029974,F,1978,Returned,N/A,Missing,Psychiatric Hospital Unit,City of Manchester,E00026158,384836.2,402383.52,2013-10-24 15:03,2013-09-03 18:01,2013-10-25 10:04,,
3A3A3A3A3936383A3139,Snow,Thistle1063442,M,2000,Returned,N/A,Missing,Home Address,Salford,E00028430,370295.69,391621.89,2016-06-01 01:46,2013-09-03 20:46,2016-06-01 06:23,,
3B3A3A3A3936383A3139,MintCream,LavenderBlush1049814,M,1975,Returned,N/A,Missing,Home Address,Bolton,E00024584,373595.27,406459.21,2013-11-01 11:00,2013-09-03 21:14,2013-11-02 22:35,,
3C3A3A3A3936383A3139,DarkGray,Orange1027051,F,1959,Returned,N/A,Missing,Home Address,Bury,E00025135,378353.35,411682.45,2013-09-03 23:09,2013-09-03 23:13,2013-09-04 00:50,,
3D3A3A3A3936383A3139,Cornsilk,MediumVioletRed1033158,F,1997,Returned,N/A,Missing,Child Care,City of Manchester,E00026779,386520.04,395037.46,2013-09-03 20:40,2013-09-03 23:16,2013-09-04 15:26,,
3E3A3A3A3936383A3139,DarkCyan,BurlyWood1007262,,1947,Returned,N/A,Missing,Home Address,Salford,E00028802,376390.97,402230.57,2013-09-03 19:30,2013-09-04 00:10,2013-09-05 14:37,,
3F3A3A3A3936383A3139,SlateBlue,Brown1054942,M,1996,Returned,N/A,Missing,Child Care,Salford,E00028496,379506.63,399886.1,2014-04-27 00:33,2013-09-04 00:24,2014-04-27 06:08,,
403A3A3A3936383A3139,SteelBlue,MediumTurquoise1066541,,1997,Returned,N/A,Missing,Other,City of Manchester,E00026072,384176.69,401207.16,2014-01-29 22:35,2013-09-04 00:24,2014-01-30 11:52,,
383A3B3A3936383A3139,OrangeRed,White1012629,M,1962,Returned,N/A,Missing,Medical Hospital / A and E,City of Manchester,E00175812,384815.13,396619.04,2013-12-14 01:39,2013-09-04 04:09,2013-12-14 10:10,,
393A3B3A3936383A3139,DarkSlateBlue,Fuchsia1044132,F,1974,Returned,N/A,Missing,Medical Hospital / A and E,Oldham,E00027099,391970.8,406301.25,2013-09-04 04:00,2013-09-04 04:56,2013-09-10 04:05,,
3A3A3B3A3936383A3139,Orange,LightSlateGray1043401,M,1980,Returned,N/A,Missing,Home Address,City of Manchester,E00025913,386515.22,392353.85,2013-09-03 17:30,2013-09-04 10:03,2013-09-10 00:11,,
3D3A3B3A3936383A3139,DarkGreen,CadetBlue1026108,M,2000,Returned,N/A,Missing,Other,Wigan,E00031566,360286.99,398538.02,2013-09-06 16:19,2013-09-04 14:17,2013-09-06 20:44,,
3F3A3B3A3936383A3139,Orange,DeepPink1043417,M,1956,Returned,N/A,Missing,Home Address,Bury,E00025082,383569,411668.74,2013-09-04 15:27,2013-09-04 15:29,2013-09-04 17:27,,
403A3B3A3936383A3139,SeaShell,Magenta1049241,F,1996,Returned,N/A,Missing,Child Care,Stockport,E00029666,387976.93,391598.3,2015-01-02 23:44,2013-09-04 15:52,2015-01-03 08:24,,
413A3B3A3936383A3139,SeaGreen,Green1015484,F,1965,Returned,N/A,Missing,Home Address,City of Manchester,E00025666,380613.29,388422.34,2013-09-15 23:53,2013-09-04 15:58,2013-09-16 02:21,,
383A3C3A3936383A3139,MediumVioletRed,WhiteSmoke1074018,M,1984,Returned,N/A,Missing,Home Address,City of Manchester,E00175883,383798.28,393746.53,2013-09-04 15:50,2013-09-04 17:52,2013-09-12 22:14,,
